"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","p_adj"
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0051650","GO:BP","establishment of vesicle localization",42,13673,"GO:0051648,GO:0051649,GO:0051656",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0051653","GO:BP","spindle localization",42,13676,"GO:0022402,GO:0051640",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0051660","GO:BP","establishment of centrosome localization",42,13683,"GO:0051642,GO:0051649,GO:0051656",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0051875","GO:BP","pigment granule localization",42,13768,"GO:0033059,GO:0051648",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0051898","GO:BP","negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",42,13788,"GO:0043491,GO:0051896,GO:1902532",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0051904","GO:BP","pigment granule transport",42,13793,"GO:0006810,GO:0051875,GO:0051905",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0051905","GO:BP","establishment of pigment granule localization",42,13794,"GO:0051650,GO:0051875",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0060026","GO:BP","convergent extension",42,14082,"GO:0002009",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0060027","GO:BP","convergent extension involved in gastrulation",42,14083,"GO:0007369,GO:0048598,GO:0060026",0.432132418287746
"set",FALSE,0.432132418287746,3,9,2,0.222222222222222,0.666666666666667,"GO:0060041","GO:BP","retina development in camera-type eye",42,14097,"GO:0043010,GO:0048856",0.432132418287746
"set",FALSE,0.432132418287746,4,9,2,0.222222222222222,0.5,"GO:0060070","GO:BP","canonical Wnt signaling pathway",42,14125,"GO:0016055",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0060071","GO:BP","Wnt signaling pathway, planar cell polarity pathway",42,14126,"GO:0035567",0.432132418287746
"set",FALSE,0.432132418287746,8,9,3,0.333333333333333,0.375,"GO:0060429","GO:BP","epithelium development",42,14416,"GO:0009888",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0060287","GO:BP","epithelial cilium movement involved in determination of left/right asymmetry",42,14294,"GO:0003351,GO:0007368",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0060295","GO:BP","regulation of cilium movement involved in cell motility",42,14301,"GO:0003352,GO:0060294,GO:1902019",0.432132418287746
"set",FALSE,0.432132418287746,3,9,2,0.222222222222222,0.666666666666667,"GO:0050953","GO:BP","sensory perception of light stimulus",42,13223,"GO:0007600",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0061371","GO:BP","determination of heart left/right asymmetry",42,15227,"GO:0007368,GO:0007507",0.432132418287746
"set",FALSE,0.432132418287746,7,9,3,0.333333333333333,0.428571428571429,"GO:0048870","GO:BP","cell motility",42,12944,"GO:0009987",0.432132418287746
"set",FALSE,0.432132418287746,17,9,6,0.666666666666667,0.352941176470588,"GO:0048869","GO:BP","cellular developmental process",42,12943,"GO:0009987,GO:0032502",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0071907","GO:BP","determination of digestive tract left/right asymmetry",42,16743,"GO:0007368,GO:0048565",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0043001","GO:BP","Golgi to plasma membrane protein transport",42,10382,"GO:0006893,GO:0015031,GO:0061951",0.432132418287746
"set",FALSE,0.432132418287746,4,9,2,0.222222222222222,0.5,"GO:0043010","GO:BP","camera-type eye development",42,10385,"GO:0001654",0.432132418287746
"set",FALSE,0.432132418287746,22,9,7,0.777777777777778,0.318181818181818,"GO:0071840","GO:BP","cellular component organization or biogenesis",42,16709,"GO:0009987",0.432132418287746
"set",FALSE,0.432132418287746,4,9,2,0.222222222222222,0.5,"GO:0043297","GO:BP","apical junction assembly",42,10510,"GO:0007043",0.432132418287746
"set",FALSE,0.432132418287746,4,9,2,0.222222222222222,0.5,"GO:0070830","GO:BP","bicellular tight junction assembly",42,16099,"GO:0043297,GO:0120192",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0043433","GO:BP","negative regulation of DNA-binding transcription factor activity",42,10593,"GO:0044092,GO:0051090",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0043473","GO:BP","pigmentation",42,10622,"GO:0008150",0.432132418287746
"set",FALSE,0.432132418287746,3,9,2,0.222222222222222,0.666666666666667,"GO:0044087","GO:BP","regulation of cellular component biogenesis",42,10812,"GO:0044085,GO:0050794",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0044092","GO:BP","negative regulation of molecular function",42,10817,"GO:0065009",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0044320","GO:BP","cellular response to leptin stimulus",42,10857,"GO:0032870,GO:0044321",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0044321","GO:BP","response to leptin",42,10858,"GO:0009725",0.432132418287746
