"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","p_adj","term_name","effective_domain_size","source_order","parents"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0035469","GO:BP",0.869920511106159,"determination of pancreatic left/right asymmetry",42,8984,"GO:0007368,GO:0031016"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0035564","GO:BP",0.869920511106159,"regulation of kidney size",42,9025,"GO:0060993,GO:0090066"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0035565","GO:BP",0.869920511106159,"regulation of pronephros size",42,9026,"GO:0035564,GO:0072114"
"hubs",FALSE,0.869920511106159,2,20,2,0.1,1,"GO:0035567","GO:BP",0.869920511106159,"non-canonical Wnt signaling pathway",42,9028,"GO:0016055"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0060693","GO:BP",0.869920511106159,"regulation of branching involved in salivary gland morphogenesis",42,14655,"GO:0060445,GO:0060688,GO:1905330,GO:2000027"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0035607","GO:BP",0.869920511106159,"fibroblast growth factor receptor signaling pathway involved in orbitofrontal cortex development",42,9046,"GO:0008543,GO:0021769"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0032782","GO:BP",0.869920511106159,"bile acid secretion",42,7761,"GO:0015718,GO:0046717"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0035725","GO:BP",0.869920511106159,"sodium ion transmembrane transport",42,9125,"GO:0006814,GO:0098655,GO:0098662"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0035729","GO:BP",0.869920511106159,"cellular response to hepatocyte growth factor stimulus",42,9128,"GO:0035728,GO:0071363"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0035767","GO:BP",0.869920511106159,"endothelial cell chemotaxis",42,9157,"GO:0043542,GO:0060326"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0060688","GO:BP",0.869920511106159,"regulation of morphogenesis of a branching structure",42,14650,"GO:0001763,GO:0022603,GO:0051239"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0060681","GO:BP",0.869920511106159,"branch elongation involved in ureteric bud branching",42,14643,"GO:0001658,GO:0060602,GO:0060677"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0035898","GO:BP",0.869920511106159,"parathyroid hormone secretion",42,9244,"GO:0060986"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0060677","GO:BP",0.869920511106159,"ureteric bud elongation",42,14639,"GO:0060560,GO:0060675"
